classroom,firstname,lastname,birthday,gender,email
3A,Fabio,Tence,2003/10/09,O,fabio.tence@student.com
3A,Silvia,Komauli,2002/09/26,F,silvia.komauli@student.com
3A,Daniele,Ronchiato,2002/01/18,M,daniele.ronchiato@student.com
3A,Davide,Petronio,2004/07/01,F,davide.petronio@student.com
3A,Guglielmo,Falanga,2000/06/29,M,guglielmo.falanga@student.com
3A,Luca,Nkrtov,2002/08/01,O,luca.nkrtov1@student.com
3A,Diego,Falanga,2004/02/05,O,diego.falanga@student.com
3A,Giulio,Gallizia,2001/07/17,M,giulio.gallizia@student.com
3B,Fabio,Degrassi,2002/12/01,M,fabio.degrassi1@student.com
3B,Giulio,Petronio,2000/08/30,F,giulio.petronio@student.com
3B,Elisa,Franzoni,2003/06/21,O,elisa.franzoni@student.com
3B,Pippo,Dieselgaypeck,2002/07/09,F,pippo.dieselgaypeck@student.com
3B,Lorenzo,Komauli,2000/11/15,F,lorenzo.komauli@student.com
3B,Giulio,Rossi,2000/01/07,M,giulio.rossi@student.com
3B,Fabiana,Gallizia,2000/08/24,M,fabiana.gallizia@student.com
3B,Gabbriello,Tence,2002/12/26,F,gabbriello.tence@student.com
3B,Pippo,Komauli,2000/07/04,F,pippo.komauli@student.com
3B,Graziella,Peric,2001/09/21,O,graziella.peric@student.com
3C,Diego,Vida,2003/12/09,F,diego.vida@student.com
3C,Maurizio,Dalvador,2004/09/22,F,maurizio.dalvador@student.com
3C,Maurizio,Nkrtov,2004/09/18,F,maurizio.nkrtov1@student.com
3C,Ludovico,Driol,2002/09/10,M,ludovico.driol@student.com
3C,Riccardo,Dalvador,2004/02/09,O,riccardo.dalvador@student.com
3C,Davide,Baruzza,2003/08/21,M,davide.baruzza@student.com
3C,Andrea,Peric,2000/10/04,M,andrea.peric@student.com
3C,Andrea,Furlan,2000/02/21,O,andrea.furlan@student.com
3C,Sofia,Dissegna,2000/01/05,M,sofia.dissegna@student.com
3C,Michela,Furlan,2001/10/21,F,michela.furlan@student.com
